pos_x,pos_y
347.2583923339844,-570.6026611328125
345.6989440917969,-570.7847900390625
344.1496887207031,-570.9663696289062
342.6160583496094,-571.1466674804688
341.1005554199219,-571.3253173828125
339.6017150878906,-571.5022583007812
338.1158447265625,-571.677490234375
336.6383972167969,-571.8517456054688
335.1650390625,-572.0252685546875
333.6930847167969,-572.1986694335938
332.2210998535156,-572.3720092773438
330.74920654296875,-572.5449829101562
329.278076171875,-572.7182006835938
327.8085632324219,-572.8912353515625
326.34130859375,-573.0641479492188
324.8764343261719,-573.23681640625
323.4134826660156,-573.4097900390625
321.95172119140625,-573.5828247070312
320.49029541015625,-573.7559814453125
319.028564453125,-573.9295654296875
317.5657653808594,-574.1035766601562
316.1015319824219,-574.2781372070312
314.63568115234375,-574.4533081054688
313.168212890625,-574.629150390625
311.69915771484375,-574.8056640625
307.1853942871094,-575.3532104492188
305.6419677734375,-575.5430908203125
304.0938720703125,-575.7349853515625
302.5409851074219,-575.92919921875
300.9833679199219,-576.1259765625
299.4210510253906,-576.325439453125
297.8540954589844,-576.5279541015625
296.2826232910156,-576.7337036132812
294.70721435546875,-576.9432373046875
293.1296081542969,-577.156982421875
291.5513000488281,-577.3753662109375
289.9728088378906,-577.5989379882812
288.3943176269531,-577.8284301757812
286.81597900390625,-578.064453125
285.2382507324219,-578.307861328125
283.6620178222656,-578.5593872070312
282.08905029296875,-578.8197631835938
280.52032470703125,-579.089599609375
278.9562072753906,-579.3696899414062
277.3969421386719,-579.6607055664062
275.84295654296875,-579.9632568359375
274.29449462890625,-580.2777709960938
272.75189208984375,-580.604736328125
271.2154846191406,-580.9443969726562
269.685546875,-581.297119140625
268.16241455078125,-581.6629638671875
266.6463317871094,-582.0420532226562
265.1375732421875,-582.4345092773438
263.63641357421875,-582.8402709960938
262.14306640625,-583.2593994140625
260.65771484375,-583.6917724609375
259.1805725097656,-584.1373901367188
257.7118225097656,-584.59619140625
256.25152587890625,-585.068115234375
254.79922485351562,-585.5534057617188
253.35406494140625,-586.052490234375
251.9156036376953,-586.5653686523438
250.4834747314453,-587.0921020507812
249.0572509765625,-587.6326904296875
247.6362762451172,-588.1873168945312
246.21971130371094,-588.756103515625
244.80673217773438,-589.3390502929688
243.3966827392578,-589.9362182617188
241.9893341064453,-590.5475463867188
240.58474731445312,-591.173095703125
239.1830291748047,-591.8128051757812
237.78433227539062,-592.4666748046875
236.38870239257812,-593.134521484375
234.99623107910156,-593.8162841796875
233.6067657470703,-594.511474609375
232.2198944091797,-595.219482421875
230.83590698242188,-595.9403076171875
229.4556121826172,-596.671630859375
228.08145141601562,-597.41455078125
226.71507263183594,-598.1669311523438
225.3555908203125,-598.9273681640625
224.00360107421875,-599.6979370117188
222.656005859375,-600.481689453125
221.3132781982422,-601.2791748046875
219.97596740722656,-602.09130859375
218.6470947265625,-602.9124145507812
217.32098388671875,-603.7433471679688
215.99700927734375,-604.5829467773438
214.6738739013672,-605.4281005859375
213.3502960205078,-606.2809448242188
212.02809143066406,-607.1394653320312
210.7068634033203,-608.0045166015625
209.38710021972656,-608.8778076171875
208.0701141357422,-609.7583618164062
206.7574462890625,-610.64404296875
205.44894409179688,-611.53271484375
204.14389038085938,-612.4234619140625
202.84197998046875,-613.315673828125
201.54312133789062,-614.2093505859375
200.24720764160156,-615.1043090820312
198.95428466796875,-616.000244140625
197.6651153564453,-616.8964233398438
196.3815155029297,-617.7913818359375
195.107666015625,-618.681884765625
193.84690856933594,-619.5655517578125
192.5997772216797,-620.4420166015625
191.36587524414062,-621.3113403320312
190.05117797851562,-622.2392578125
188.7504119873047,-623.1581420898438
187.4634552001953,-624.0673217773438
186.18931579589844,-624.9661254882812
184.92823791503906,-625.853759765625
183.68043518066406,-626.7293701171875
182.44590759277344,-627.592041015625
181.13723754882812,-628.501220703125
179.84197998046875,-629.3939208984375
178.55908203125,-630.2691040039062
177.28765869140625,-631.1260375976562
176.026611328125,-631.964111328125
174.69203186035156,-632.8369140625
173.3675994873047,-633.6875
172.0528564453125,-634.5154418945312
170.74740600585938,-635.3203125
169.4493408203125,-636.1021118164062
168.0787353515625,-636.9071655273438
166.71876525878906,-637.6851806640625
165.36978149414062,-638.43603515625
164.03219604492188,-639.1596069335938
162.6287384033203,-639.8964233398438
161.2388458251953,-640.6038818359375
159.86302185058594,-641.28271484375
158.50181579589844,-641.933349609375
157.08132934570312,-642.5892944335938
155.6779327392578,-643.2132568359375
154.2893829345703,-643.8042602539062
152.83953857421875,-644.3902587890625
151.39682006835938,-644.9391479492188
149.9580841064453,-645.4520263671875
148.52691650390625,-645.9281005859375
147.03466796875,-646.3877563476562
145.5530548095703,-646.8063354492188
144.07980346679688,-647.1846313476562
142.61251831054688,-647.5240478515625
141.0811767578125,-647.83984375
139.5557403564453,-648.1165771484375
138.03587341308594,-648.3558959960938
136.52032470703125,-648.559326171875
135.00831604003906,-648.7286987304688
133.50042724609375,-648.8641357421875
131.99771118164062,-648.9644165039062
130.4336700439453,-649.0286865234375
128.87832641601562,-649.0477294921875
127.32991790771484,-649.0175170898438
125.78655242919922,-648.935302734375
124.24844360351562,-648.7996826171875
122.7149429321289,-648.611572265625
121.18403625488281,-648.3737182617188
119.6529769897461,-648.0892944335938
118.11936950683594,-647.7611083984375
116.64990234375,-647.4071044921875
115.17924499511719,-647.0135498046875
113.7119369506836,-646.5794067382812
112.25570678710938,-646.104736328125
110.81336975097656,-645.59033203125
109.3834228515625,-645.0366821289062
107.96188354492188,-644.4439697265625
106.5467300415039,-643.8125
105.13967895507812,-643.141845703125
