pos_x,pos_y
-194.15130615234375,369.34271240234375
-192.7818145751953,368.45294189453125
-191.4208221435547,367.5686950683594
-190.07595825195312,366.6947021484375
-188.75128173828125,365.8334045410156
-187.4473114013672,364.98492431640625
-186.16128540039062,364.14752197265625
-184.88885498046875,363.31854248046875
-183.62533569335938,362.494873046875
-182.36666870117188,361.6742248535156
-181.10995483398438,360.8548889160156
-179.8533935546875,360.03594970703125
-178.59625244140625,359.21697998046875
-177.33811950683594,358.3980712890625
-176.07907104492188,357.5790100097656
-174.819091796875,356.76019287109375
-173.55838012695312,355.9414978027344
-172.2969512939453,355.12298583984375
-171.03489685058594,354.3047180175781
-169.77223205566406,353.486572265625
-168.50904846191406,352.6686706542969
-167.2453155517578,351.8507995605469
-165.9810791015625,351.0331115722656
-164.71633911132812,350.2154235839844
-163.4511260986328,349.39794921875
-159.5739288330078,346.89569091796875
-158.2541961669922,346.04461669921875
-156.93418884277344,345.19354248046875
-155.61367797851562,344.34246826171875
-154.2928466796875,343.4912109375
-152.971923828125,342.63946533203125
-151.65089416503906,341.7872009277344
-150.3296661376953,340.9344177246094
-149.00823974609375,340.0809020996094
-147.68670654296875,339.2266540527344
-146.3648681640625,338.3717041015625
-145.0427703857422,337.51593017578125
-143.7203826904297,336.6593933105469
-142.39772033691406,335.8021545410156
-141.07460021972656,334.94427490234375
-139.7513427734375,334.0859069824219
-138.4276123046875,333.2269592285156
-137.10333251953125,332.3675231933594
-135.778564453125,331.5081481933594
-134.45310974121094,330.6486511230469
-133.12704467773438,329.7890625
-131.8003387451172,328.9294128417969
-130.47308349609375,328.0694580078125
-129.1451873779297,327.2092590332031
-127.81674194335938,326.3489685058594
-126.48796844482422,325.48822021484375
-125.15885162353516,324.6269226074219
-123.82929992675781,323.7655944824219
-122.49933624267578,322.90374755859375
-121.16887664794922,322.0416259765625
-119.83793640136719,321.17919921875
-118.50639343261719,320.316650390625
-117.17447662353516,319.4538269042969
-115.84221649169922,318.59075927734375
-114.50930786132812,317.72760009765625
-113.17594909667969,316.8641052246094
-111.84214782714844,316.000244140625
-110.50788116455078,315.135986328125
-109.17324829101562,314.271728515625
-107.83805084228516,313.40716552734375
-106.50236511230469,312.54217529296875
-105.16629028320312,311.677001953125
-103.82987213134766,310.81134033203125
-102.49314880371094,309.94525146484375
-101.15592193603516,309.07904052734375
-99.81832885742188,308.2124938964844
-98.48041534423828,307.345458984375
-97.14218139648438,306.4779357910156
-95.80366516113281,305.60992431640625
-94.46507263183594,304.74127197265625
-93.1263427734375,303.871826171875
-91.78763580322266,303.00164794921875
-90.44881439208984,302.13079833984375
-89.10989379882812,301.2592468261719
-87.77068328857422,300.3873596191406
-86.43115234375,299.51513671875
-85.09140014648438,298.6422119140625
-83.75101470947266,297.7696228027344
-82.40998840332031,296.8970642089844
-81.06812286376953,296.02490234375
-79.7254638671875,295.15338134765625
-78.38196563720703,294.2822265625
-77.03773498535156,293.411376953125
-75.693115234375,292.5406188964844
-74.34772491455078,291.66986083984375
-73.00194549560547,290.799072265625
-71.65574645996094,289.92822265625
-70.30895233154297,289.057373046875
-68.96178436279297,288.18670654296875
-67.61421966552734,287.3155212402344
-66.26605224609375,286.444580078125
-64.91747283935547,285.57373046875
-63.568424224853516,284.70257568359375
-62.218833923339844,283.83160400390625
-60.868743896484375,282.9607238769531
-59.518218994140625,282.0897216796875
-58.16746520996094,281.218505859375
-56.816402435302734,280.3469543457031
-55.46501159667969,279.4753723144531
-54.11336135864258,278.6034240722656
-52.761436462402344,277.73114013671875
-51.40921401977539,276.858642578125
-50.05671691894531,275.9858093261719
-48.70413589477539,275.1125183105469
-47.35145568847656,274.23876953125
-45.99851608276367,273.3647155761719
-44.645389556884766,272.4902648925781
-43.29212951660156,271.6154479980469
-41.93844985961914,270.7405700683594
-40.584442138671875,269.86541748046875
-39.23019027709961,268.99017333984375
-37.87546157836914,268.11492919921875
-36.52018356323242,267.24005126953125
-35.164306640625,266.365234375
-33.80783462524414,265.4906921386719
-32.450767517089844,264.6164855957031
-31.093103408813477,263.74273681640625
-29.734834671020508,262.86932373046875
-28.375925064086914,261.99615478515625
-27.0164794921875,261.12310791015625
-25.65671157836914,260.25006103515625
-24.29658317565918,259.37701416015625
-22.936052322387695,258.50396728515625
-21.575122833251953,257.63092041015625
-20.213895797729492,256.7575988769531
-18.852426528930664,255.88417053222656
-17.490825653076172,255.010498046875
-16.129026412963867,254.13661193847656
-14.76701545715332,253.26235961914062
-13.404827117919922,252.38778686523438
-12.042478561401367,251.51290893554688
-10.679986953735352,250.6375274658203
-9.317389488220215,249.76171875
-7.95471715927124,248.8856964111328
-6.591939926147461,248.00936889648438
-5.2289838790893555,247.1326446533203
-3.8658504486083984,246.25563049316406
-2.502558469772339,245.37818908691406
-1.1391979455947876,244.50033569335938
0.2242143452167511,243.62196350097656
1.5876991748809814,242.74313354492188
2.9512388706207275,241.86392211914062
4.314863681793213,240.98423767089844
5.6784796714782715,240.10397338867188
7.042227745056152,239.22328186035156
8.406143188476562,238.34222412109375
9.770140647888184,237.46066284179688
11.134064674377441,236.57858276367188
12.498129844665527,235.69619750976562
13.862289428710938,234.813232421875
15.2264404296875,233.92991638183594
16.590721130371094,233.0460205078125
17.954917907714844,232.16163635253906
19.319120407104492,231.2767791748047
20.68347930908203,230.39146423339844
22.047897338867188,229.5059051513672
23.41250991821289,228.6200714111328
24.777158737182617,227.73388671875
26.14192771911621,226.84735107421875
27.506803512573242,225.96041870117188
28.871826171875,225.07318115234375
30.23708152770996,224.18585205078125
