pos_x,pos_y
-234.08982849121094,-302.37335205078125
-232.78831481933594,-303.1905517578125
-231.49632263183594,-303.99932861328125
-230.21820068359375,-304.796142578125
-228.9554901123047,-305.57952880859375
-227.70669555664062,-306.349853515625
-226.4680633544922,-307.1092529296875
-225.23501586914062,-307.8604736328125
-224.0032501220703,-308.6064147949219
-222.76980590820312,-309.3488464355469
-221.53285217285156,-310.0893249511719
-220.2920379638672,-310.82843017578125
-219.0477752685547,-311.56634521484375
-217.80072021484375,-312.3028869628906
-216.55160522460938,-313.0379638671875
-215.3009796142578,-313.7716064453125
-214.049072265625,-314.50372314453125
-212.7958526611328,-315.2347106933594
-211.54090881347656,-315.96478271484375
-210.28359985351562,-316.69439697265625
-209.02317810058594,-317.4240417480469
-207.75863647460938,-318.15435791015625
-206.48907470703125,-318.88568115234375
-205.21385192871094,-319.61834716796875
-203.9329071044922,-320.352294921875
-199.99156188964844,-322.5897521972656
-198.65069580078125,-323.343017578125
-197.3103790283203,-324.093017578125
-195.9708709716797,-324.8402099609375
-194.63223266601562,-325.5846862792969
-193.29461669921875,-326.3261413574219
-191.9582061767578,-327.0650329589844
-190.62307739257812,-327.8009338378906
-189.28880310058594,-328.533447265625
-187.9552459716797,-329.2618713378906
-186.6221160888672,-329.98614501953125
-185.2897491455078,-330.7061767578125
-183.95848083496094,-331.42230224609375
-182.62767028808594,-332.134033203125
-181.29771423339844,-332.84063720703125
-179.968505859375,-333.54327392578125
-178.6397705078125,-334.2408447265625
-177.26873779296875,-334.9558410644531
-175.89842224121094,-335.6656799316406
-174.52870178222656,-336.3703308105469
-173.16014099121094,-337.0704650878906
-171.7924346923828,-337.7660217285156
-170.42564392089844,-338.4576110839844
-169.0600128173828,-339.1456604003906
-167.69564819335938,-339.8304138183594
-166.33251953125,-340.5115966796875
-164.97035217285156,-341.18878173828125
-163.6092071533203,-341.8625793457031
-162.24887084960938,-342.53271484375
-160.88888549804688,-343.19970703125
-159.52931213378906,-343.8631591796875
-158.1699676513672,-344.52288818359375
-156.8111572265625,-345.1794738769531
-155.4525909423828,-345.8321838378906
-154.0941619873047,-346.4812316894531
-152.73599243164062,-347.1263427734375
-151.37820434570312,-347.7681884765625
-149.97836303710938,-348.4262390136719
-148.57867431640625,-349.08056640625
-147.17979431152344,-349.7304992675781
-145.7808837890625,-350.3766784667969
-144.38232421875,-351.0193786621094
-142.98411560058594,-351.65911865234375
-141.58450317382812,-352.29742431640625
-140.1820068359375,-352.9349060058594
-138.77626037597656,-353.5714416503906
-137.36712646484375,-354.2070617675781
-135.99734497070312,-354.8228454589844
-134.62399291992188,-355.4382629394531
-133.24679565429688,-356.05291748046875
-131.86570739746094,-356.6664733886719
-130.48052978515625,-357.2795715332031
-129.09112548828125,-357.8918151855469
-127.69725799560547,-358.50262451171875
-126.29854583740234,-359.1124267578125
-124.89509582519531,-359.7206726074219
-123.4865493774414,-360.32781982421875
-122.0728988647461,-360.93328857421875
-120.6539077758789,-361.53741455078125
-119.2294921875,-362.13995361328125
-117.84431457519531,-362.722412109375
-116.45390319824219,-363.3035888671875
-115.0580825805664,-363.8835144042969
-113.65690612792969,-364.46234130859375
-112.24987030029297,-365.03973388671875
-110.83748626708984,-365.61614990234375
-109.41907501220703,-366.19097900390625
-107.9952163696289,-366.7646789550781
-106.56500244140625,-367.3367919921875
-105.1290512084961,-367.9076843261719
-103.7333755493164,-368.4589538574219
-102.33197021484375,-369.0086669921875
-100.92448425292969,-369.55694580078125
-99.51071166992188,-370.10333251953125
-98.09063720703125,-370.6483459472656
-96.66431427001953,-371.1914367675781
-95.23157501220703,-371.7336120605469
-93.79228973388672,-372.27435302734375
-92.34650421142578,-372.81365966796875
-90.89375305175781,-373.3515930175781
-89.48319244384766,-373.87066650390625
-88.0664291381836,-374.3890380859375
-86.64305877685547,-374.906005859375
-85.21311950683594,-375.42230224609375
-83.77659606933594,-375.937744140625
-82.33348846435547,-376.4522705078125
-80.88349151611328,-376.9653625488281
-79.42671966552734,-377.47637939453125
-77.96287536621094,-377.9854736328125
-76.54295349121094,-378.4760437011719
-75.11685943603516,-378.9656066894531
-73.68399810791016,-379.4531555175781
-72.24468994140625,-379.9394226074219
-70.79899597167969,-380.4240417480469
-69.34700775146484,-380.90728759765625
-67.88892364501953,-381.3888244628906
-66.42520141601562,-381.8689880371094
-64.95587921142578,-382.34783935546875
-63.48125457763672,-382.8251953125
-62.00137710571289,-383.3009338378906
-60.56915283203125,-383.75799560546875
-59.13200378417969,-384.2137145996094
-57.69023895263672,-384.6669616699219
-56.2437744140625,-385.1185302734375
-54.7925910949707,-385.567626953125
-53.3373908996582,-386.014404296875
-51.87794876098633,-386.45904541015625
-50.41447067260742,-386.9007568359375
-48.94699478149414,-387.3404235839844
-47.475372314453125,-387.7772216796875
-45.99999237060547,-388.2120056152344
-44.52048110961914,-388.6441650390625
-43.03703308105469,-389.0741882324219
-41.549495697021484,-389.5016174316406
-40.05801773071289,-389.92657470703125
-38.56237030029297,-390.3481750488281
-37.06240463256836,-390.766845703125
-35.613704681396484,-391.166748046875
