pos_x,pos_y
233.0240478515625,-385.4485778808594
231.80162048339844,-384.5788269042969
230.578857421875,-383.70892333984375
229.35626220703125,-382.8389587402344
228.13400268554688,-381.96917724609375
226.91220092773438,-381.0995178222656
225.69070434570312,-380.2298889160156
224.4693603515625,-379.36016845703125
223.24798583984375,-378.490478515625
222.02645874023438,-377.62060546875
220.8047332763672,-376.75079345703125
219.582763671875,-375.881103515625
218.3607635498047,-375.01153564453125
217.13858032226562,-374.1419372558594
215.91629028320312,-373.272705078125
214.6939697265625,-372.4034118652344
213.47157287597656,-371.5343933105469
212.2490692138672,-370.6654052734375
211.0266876220703,-369.79644775390625
209.8042449951172,-368.927490234375
208.58181762695312,-368.0584716796875
207.35948181152344,-367.1894226074219
206.13717651367188,-366.3204345703125
204.92788696289062,-365.46044921875
203.7384796142578,-364.6144104003906
202.54763793945312,-363.76690673828125
201.14752197265625,-362.7703552246094
199.9256134033203,-361.900634765625
198.80508422851562,-361.1025390625
197.58338928222656,-360.23236083984375
196.3617401123047,-359.362060546875
195.14019775390625,-358.49176025390625
193.9164581298828,-357.6197509765625
192.69712829589844,-356.7506408691406
191.47621154785156,-355.88018798828125
190.2553253173828,-355.0092468261719
189.0344696044922,-354.1380615234375
187.81381225585938,-353.2667236328125
186.5932159423828,-352.3952331542969
185.3726806640625,-351.5235595703125
184.15220642089844,-350.6518859863281
182.9316864013672,-349.7801208496094
181.71128845214844,-348.9083557128906
180.4908905029297,-348.0364074707031
179.2706298828125,-347.164306640625
178.05055236816406,-346.2919921875
176.83059692382812,-345.41949462890625
175.61080932617188,-344.54681396484375
174.3911590576172,-343.6739196777344
173.17144775390625,-342.80108642578125
171.94776916503906,-341.92559814453125
170.72720336914062,-341.0527038574219
169.5114288330078,-340.18353271484375
168.291259765625,-339.3113708496094
167.07080078125,-338.4395446777344
165.84988403320312,-337.5683898925781
164.62857055664062,-336.6978759765625
163.40682983398438,-335.8278503417969
162.18478393554688,-334.9583740234375
160.96238708496094,-334.08929443359375
159.73971557617188,-333.2206726074219
158.51666259765625,-332.3525695800781
157.29322814941406,-331.4848937988281
156.06971740722656,-330.6173095703125
154.84640502929688,-329.74945068359375
153.62350463867188,-328.8810729980469
152.40097045898438,-328.01214599609375
151.1787109375,-327.1428527832031
149.95668029785156,-326.273193359375
148.73489379882812,-325.4031982421875
147.5134735107422,-324.53277587890625
146.2926025390625,-323.661865234375
145.07203674316406,-322.7901916503906
143.85205078125,-321.9178466796875
142.6278839111328,-321.0415344238281
141.41184997558594,-320.170166015625
140.19459533691406,-319.2968444824219
138.9763641357422,-318.4218444824219
137.75857543945312,-317.54632568359375
136.54115295410156,-316.6702880859375
135.32418823242188,-315.7937927246094
134.1075897216797,-314.91680908203125
132.89122009277344,-314.03936767578125
