pos_x,pos_y,curvature
-194.15130615234372,369.34271240234375,2.5747052977998178e-06
-192.7818145751953,368.4529418945313,2.6340863083303863e-06
-191.4208221435547,367.5686950683594,2.6938178253203874e-06
-190.07595825195312,366.6947021484375,2.753902596351144e-06
-188.75128173828125,365.8334045410156,2.814343372428328e-06
-187.4473114013672,364.9849243164063,2.8751429079386376e-06
-186.16128540039065,364.14752197265625,2.9363039606033383e-06
-184.88885498046875,363.3185424804688,2.9978292914272413e-06
-183.62533569335935,362.494873046875,3.059721664643419e-06
-182.36666870117188,361.6742248535156,3.1219838476538293e-06
-181.1099548339844,360.8548889160156,3.184618610965697e-06
-179.8533935546875,360.03594970703125,3.247628728123685e-06
-178.59625244140625,359.21697998046875,3.31101697563787e-06
-177.33811950683594,358.3980712890625,3.374786132907202e-06
-176.07907104492188,357.5790100097656,3.4389389821391455e-06
-174.819091796875,356.7601928710937,3.503478308264129e-06
-173.55838012695312,355.9414978027344,3.5684068988465076e-06
-172.2969512939453,355.1229858398437,3.6337275439906763e-06
-171.03489685058594,354.3047180175781,3.699443036242593e-06
-169.77223205566406,353.486572265625,3.7655561704875022e-06
-168.50904846191406,352.6686706542969,3.83206974384225e-06
-167.2453155517578,351.8507995605469,3.898986555543882e-06
-165.9810791015625,351.0331115722656,3.966309406833234e-06
-164.71633911132812,350.2154235839844,4.034041100833995e-06
-163.4511260986328,349.39794921875,4.1021844424273175e-06
-159.5739288330078,346.89569091796875,4.170742238121594e-06
-158.2541961669922,346.04461669921875,4.239717295917491e-06
-156.93418884277344,345.19354248046875,4.309112425168528e-06
-155.61367797851562,344.34246826171875,4.378930436436643e-06
-154.2928466796875,343.4912109375,4.449174141342752e-06
-152.971923828125,342.63946533203125,4.519846352413188e-06
-151.65089416503906,341.7872009277344,4.590949882920432e-06
-150.3296661376953,340.9344177246094,4.662487546719365e-06
-149.00823974609375,340.0809020996094,4.734462158078543e-06
-147.68670654296875,339.2266540527344,4.8068765315062845e-06
-146.3648681640625,338.3717041015625,4.879733481571793e-06
-145.0427703857422,337.51593017578125,4.953035822721436e-06
-143.7203826904297,336.6593933105469,5.026786369089344e-06
-142.39772033691406,335.8021545410156,5.100987934303577e-06
-141.07460021972656,334.9442749023437,5.175643331286177e-06
-139.7513427734375,334.0859069824219,5.25075537204895e-06
-138.4276123046875,333.2269592285156,5.326326867483059e-06
-137.10333251953125,332.3675231933594,5.402360627143973e-06
-135.778564453125,331.5081481933594,5.4788594590305006e-06
-134.45310974121094,330.6486511230469,5.555826169358779e-06
-133.12704467773438,329.7890625,5.633263562330486e-06
-131.8003387451172,328.9294128417969,5.711174439895757e-06
-130.47308349609375,328.0694580078125,5.789561601510417e-06
-129.1451873779297,327.2092590332031,5.868427843887637e-06
-127.81674194335938,326.3489685058594,5.947775960743799e-06
-126.48796844482422,325.4882202148437,6.027608742538879e-06
-125.15885162353516,324.6269226074219,6.107928976211063e-06
-123.8292999267578,323.7655944824219,6.188739444905191e-06
-122.49933624267578,322.9037475585937,6.270042927695889e-06
-121.16887664794922,322.0416259765625,6.351842199304344e-06
-119.8379364013672,321.17919921875,6.4341400298095214e-06
-118.5063934326172,320.316650390625,6.516939184353085e-06
