,LapCount,LapTime,LapTimeStr,speed_max,speed_avg,steps
0,1.0,139.105, 2:19.105,267.3,165.221,3142
1,2.0,125.68, 2:05.680,267.11,155.416,3350
2,3.0,134.028, 2:14.028,253.705,238.334,296
