,LapCount,LapTime,LapTimeStr,speed_max,speed_avg,steps
0,1.0,125.238, 2:05.238,266.84,145.295,3595
1,2.0,143.81, 2:23.810,265.085,164.899,3148
2,3.0,125.885, 2:05.885,264.47,149.319,3473
3,4.0,138.94, 2:18.940,232.945,203.869,241
