,LapCount,LapTime,LapTimeStr,speed_max,speed_avg,steps
0,1.0,145.132, 2:25.132,269.96,183.745,2825
1,2.0,112.982, 1:52.983,269.605,183.393,2827
2,3.0,113.115, 1:53.115,269.71,180.412,2875
3,4.0,114.998, 1:54.998,270.3,185.841,2791
4,5.0,111.602, 1:51.602,270.655,184.528,2812
5,6.0,112.482, 1:52.483,270.355,183.622,2824
6,7.0,112.995, 1:52.995,270.285,184.428,2816
7,8.0,112.602, 1:52.602,270.065,183.173,2830
8,9.0,113.21, 1:53.210,269.58,183.824,2819
9,10.0,112.778, 1:52.778,270.42,183.417,2827
10,11.0,113.08, 1:53.080,269.68,178.473,2902
11,12.0,116.07, 1:56.070,80.34,77.262,282
