,LapCount,LapTime,LapTimeStr,speed_max,speed_avg,steps
0,1.0,424.58, 7:04.580,266.005,155.577,3348
1,2.0,133.92, 2:13.920,267.4,158.825,3271
2,3.0,130.85, 2:10.850,267.855,165.092,3145
3,4.0,125.81, 2:05.810,266.605,167.441,3103
4,5.0,124.12, 2:04.120,268.525,170.929,3039
5,6.0,121.57, 2:01.570,267.77,169.683,3060
6,7.0,122.37, 2:02.370,267.355,173.185,2999
7,8.0,119.99, 1:59.990,269.26,175.046,2969
8,9.0,118.74, 1:58.740,267.895,165.156,3153
9,10.0,126.11, 2:06.110,270.405,84.97,1012
